,1,X,2
Wuhan Zall FC - Shanghai Shenhua,"4,50","2,10","2,45"
Saburtalo Tbilisi - Samgurali Tskaltubo,"1,01",30,120
Sioni Bolsini - Metallurg Rustavi,"1,04","11,50",34
FC Shevardeni 1906 Tbilisi - FC Zugdidi,"1,16","6,50","13,50"
Rodina Moscow - Lokomotiv 2 Moscú,"2,45","2,20","4,10"
