,Partido,1,2
96,"
Scott Puodziunas - Patrick Coates Beadman","

1.06

","

8.00

"
97,"
Cade Birrell - Tai Sach","

2.37

","

1.53

"
98,"
Calum Puttergill - Marcus Schoeman","

1.04

","

10.00

"
99,"
Albert Kirsten - Thomas Gadecki","

4.50

","

1.17

"
100,"
Connor Richardson - Dusan Rsovac","

7.50

","

1.07

"
101,"
Jayden Court - Sam Oster","

1.83

","

1.83

"
102,"
Sam Ryan Ziegann - Winter Meagher","

2.50

","

1.50

"
103,"
Kate Kim - Isabella Dilaura","

1.61

","

2.20

"
104,"
Avery Esquivel - Gianna Pielet","

6.50

","

1.10

"
105,"
Jayci Goldsmith - Rhiann Newborn","

2.00

","

1.73

"
106,"
Rahul Dhokia - Pierce Rollins","

3.50

","

1.28

"
107,"
Anish Sriniketh - Alan Magadan","

2.75

","

1.40

"
108,"
Ritesh Patil - Luke Casper","

3.25

","

1.33

"
109,"
Bjorn Swenson - Alan Magadan","

1.91

","

1.80

"
